"r"	"MSY"	"f"	"b"
"4903"	0.0259995029505808	1438.60715561084	1.24316261246721	1.03299151715479
"4932"	0.00966232807666529	615.891063670364	2.48329658890235	1.20790955597801
"4996"	0.124816556622391	2146.01907040987	0.708390611482855	1.21523575241759
"5013"	0.0652263783087255	1615.5691327397	1.16481137739151	0.981715755111347
"5083"	0.0460898807086051	1506.55788793201	1.09073066994797	1.12425172597463
"5273"	0.0239502241689479	1105.98288911762	1.9010431209338	0.878671491192529
"5363"	0.0189447638037382	1538.45620749162	1.05317215342189	1.14020359432722
"5428"	0.091584192525479	1757.82939998588	5.14035879401786	0.20445453795203
"5455"	0.0106659630284412	867.653912357121	1.86519411566528	1.14155369905617
"5483"	0.0288274827646092	1383.51252855346	1.14883967209426	1.16231646811896
"5561"	0.0806305705395061	1738.76803890021	1.20424116743043	0.882290886914278
"5580"	0.027565882159397	1178.98921845701	1.36993655977561	1.14381719813926
"5619"	0.0768007746100193	1674.11902056338	1.60712004518247	0.68664500177673
"5626"	0.0308377560559893	1279.28838484292	1.54390544079314	0.935357767859199
"5688"	0.0657554110803176	1791.53943397099	0.928032125910953	1.11116237976406
"5704"	0.0229997237515636	1472.68729640892	1.06876593970669	1.17374502982432
"5837"	0.137807293608785	2124.05384585679	0.98244397363323	0.885306385300135
"5867"	0.0550161234213738	1558.78682756226	1.1012456609526	1.0762074010014
"5978"	0.147428964523715	2230.72699639296	0.711635417897528	1.1637586818127
"5983"	0.0174073379934998	893.14470942897	3.34338744142114	0.618669028187943
"5985"	0.115719808852882	2054.90171938517	0.805804170789665	1.11569720542369
"6037"	0.0440491722919978	1360.2032952111	1.92061188131726	0.707169429185878
"6106"	0.0438953738717828	1584.8786866826	1.01455196332118	1.1489379933151
"6158"	0.0370934251399012	1313.49664012466	1.64324583435791	0.855924396925576
"6181"	0.0313131607300602	1380.00655491821	1.65363584498639	0.80955411520577
"6319"	0.0118980561650824	663.401766570799	2.75029306834567	1.01253795985574
"6340"	0.201052620149567	2458.0416394144	4.59370627379452	0.163611736331756
"6352"	0.0174352895712946	966.231648957092	1.53211070440545	1.24794517471625
"6392"	0.0678752610913944	1606.33824651144	1.51129917223421	0.76099090677442
"6393"	0.00768450323317666	316.501881189809	64.503689926449	0.0904911394781027
"6407"	0.0234537069214275	1370.31847844753	1.39470439997638	0.966636581492273
"6579"	0.0912584531342145	1970.67357238243	0.852841991505464	1.09921752441291
"6658"	0.00999687744013499	643.334224617103	3.59087133000448	0.799706106431536
"6665"	0.0371228508377681	1279.03225467207	1.35215324507623	1.06821703711035
"6684"	0.052490595462732	1755.26614761536	0.863219199986262	1.21927829624829
"6748"	0.0216703966038767	1221.58867509528	1.80882333703111	0.836076008378457
"6769"	0.0122676090948516	994.557721014255	2.23863568650816	0.829761911962783
"6800"	0.0237742022692692	1495.98487496355	0.988037222477061	1.24987448645927
"6829"	0.037489192581852	1280.96364344575	1.42166862330795	1.01445252988065
"6835"	0.0695848491549259	1936.69879485436	0.809964304343011	1.17771159204122
"6838"	0.126719066152582	2124.27929370976	0.711390984238881	1.22249457058252
"6841"	0.0135604065202642	982.945077782518	1.93265521347204	0.972485818597148
